Date,Open,High,Low,Close,Adj Close,Volume
2000-12-15,20.375000,20.718750,20.375000,20.406250,11.512856,4576800
2000-12-18,20.406250,21.312500,20.062500,21.156250,11.935994,3673200
2000-12-19,21.156250,21.687500,20.718750,21.437500,12.094662,5395200
2000-12-20,21.437500,21.656250,20.625000,21.531250,12.147567,5809600
2000-12-21,21.531250,22.437500,21.125000,22.375000,12.623597,5965000
2000-12-22,22.375000,23.375000,22.093750,23.312500,13.152518,5743600
2000-12-26,23.312500,23.875000,23.218750,23.875000,13.469870,3715400
2000-12-27,23.781250,23.781250,23.187500,23.750000,13.399346,3737200
2000-12-28,23.750000,23.843750,23.093750,23.812500,13.434604,2558600
2000-12-29,23.812500,23.968750,23.406250,23.656250,13.346455,3051800
2001-01-02,23.625000,23.625000,22.812500,23.156250,13.064358,3285000
2001-01-03,23.156250,23.343750,21.781250,23.250000,13.117254,7564000
2001-01-04,23.250000,24.812500,23.250000,24.343750,13.734329,9149400
2001-01-05,24.250000,24.250000,22.656250,22.937500,12.940947,7057800
2001-01-08,22.937500,23.000000,22.562500,22.875000,12.905691,3752000
2001-01-09,22.875000,22.875000,22.437500,22.843750,12.888057,3836600
2001-01-10,22.812500,22.812500,22.031250,22.531250,12.711740,3655000
2001-01-11,22.531250,22.718750,22.062500,22.718750,12.817533,3371000
2001-01-12,22.625000,22.625000,21.343750,21.843750,12.323871,3494200
2001-01-16,21.843750,22.343750,21.531250,22.343750,12.605964,4239400
2001-01-17,22.343750,22.812500,22.156250,22.500000,12.694118,4460200
2001-01-18,21.031250,21.031250,20.000000,20.875000,11.958022,9166400
2001-01-19,20.531250,20.531250,19.906250,20.312500,11.635794,5502600
2001-01-22,20.312500,20.718750,19.906250,20.437500,11.707401,4659800
2001-01-23,20.437500,21.000000,20.375000,20.812500,11.922218,5792400
2001-01-24,20.812500,21.437500,20.500000,21.093750,12.083328,3670200
2001-01-25,21.218750,22.031250,21.218750,21.656250,12.405547,3517600
2001-01-26,21.656250,21.875000,21.281250,21.625000,12.387644,3094400
2001-01-29,21.580000,21.900000,21.405001,21.549999,12.344686,2439600
2001-01-30,21.549999,22.250000,21.125000,22.200001,12.717032,4675200
2001-01-31,22.200001,22.500000,22.000000,22.110001,12.665475,3889000
2001-02-01,22.110001,22.299999,21.850000,22.165001,12.696982,2737600
2001-02-02,22.165001,22.459999,21.950001,22.135000,12.679797,2387400
2001-02-05,22.135000,22.190001,21.865000,21.885000,12.536583,1823000
2001-02-06,21.885000,22.030001,21.655001,21.760000,12.464981,2298200
2001-02-07,21.760000,21.945000,21.690001,21.805000,12.490758,1773800
2001-02-08,21.805000,21.875000,21.405001,21.590000,12.367598,1954000
2001-02-09,21.590000,21.625000,21.245001,21.500000,12.316041,3121800
2001-02-12,21.565001,21.924999,21.565001,21.565001,12.353278,3180600
2001-02-13,21.575001,22.075001,21.575001,21.629999,12.390509,2898400
2001-02-14,21.629999,22.250000,21.410000,21.459999,12.293129,2694800
2001-02-15,21.705000,22.500000,21.705000,22.059999,12.636827,3487000
2001-02-16,22.059999,22.340000,21.750000,21.834999,12.507946,3326200
2001-02-20,21.700001,21.700001,20.900000,20.900000,11.972341,4236800
