Date,Open,High,Low,Close,Adj Close,Volume
2000-08-21,116.937500,118.750000,116.250000,117.812500,97.775726,1082000
2000-08-22,117.937500,121.500000,117.750000,119.875000,99.487480,2178800
2000-08-23,119.750000,119.750000,118.062500,119.000000,98.761269,1650600
2000-08-24,119.062500,120.875000,117.937500,118.250000,98.138855,1049600
2000-08-25,118.500000,120.187500,117.125000,119.375000,99.072472,984200
2000-08-28,118.250000,124.500000,118.250000,122.437500,101.614136,1422700
2000-08-29,121.500000,127.437500,121.375000,127.437500,105.763756,2495500
2000-08-30,125.500000,126.500000,123.125000,123.687500,102.651558,2136000
2000-08-31,124.500000,129.500000,123.875000,129.500000,107.475533,1394100
2000-09-01,128.000000,129.812500,127.125000,129.625000,107.579208,993800
2000-09-05,128.687500,130.062500,127.187500,128.812500,106.904953,1184400
2000-09-06,128.687500,132.875000,127.500000,128.125000,106.334351,2104200
2000-09-07,127.875000,129.500000,125.937500,128.687500,106.801147,1046800
2000-09-08,127.500000,129.187500,124.000000,124.250000,103.118378,1358800
2000-09-11,127.000000,132.437500,126.312500,132.000000,109.550301,2718400
2000-09-12,132.312500,133.625000,129.687500,131.312500,108.979759,1905100
2000-09-13,129.250000,130.750000,127.375000,128.500000,106.645569,1437400
2000-09-14,129.375000,131.750000,128.687500,129.000000,107.060547,1278100
2000-09-15,128.000000,128.125000,124.312500,124.875000,103.637085,1441100
2000-09-18,124.000000,124.125000,117.750000,118.562500,98.398148,2410400
2000-09-19,118.562500,121.437500,115.312500,119.937500,99.539337,3284700
2000-09-20,121.500000,122.937500,114.937500,118.000000,97.931320,2067500
2000-09-21,114.000000,114.312500,111.250000,113.250000,93.989204,2324000
2000-09-22,110.000000,115.500000,109.500000,114.875000,95.337837,2382900
2000-09-25,116.125000,118.687500,116.062500,116.500000,96.686470,1337900
2000-09-26,115.125000,115.625000,109.500000,110.875000,92.018120,2032900
2000-09-27,111.000000,111.750000,105.750000,107.062500,88.854050,2008800
2000-09-28,107.000000,114.562500,107.000000,113.000000,93.781693,1891700
2000-09-29,111.500000,117.250000,111.437500,114.062500,94.663498,2193700
2000-10-02,113.125000,116.875000,113.125000,115.375000,95.752792,1258700
2000-10-03,115.625000,116.875000,113.000000,113.875000,94.507927,1502600
2000-10-04,113.500000,113.562500,108.625000,109.437500,90.825073,1757900
2000-10-05,109.750000,115.937500,109.750000,114.875000,95.337837,1853900
2000-10-06,113.375000,113.625000,105.437500,108.875000,90.358231,3625100
2000-10-09,107.000000,107.625000,103.687500,105.250000,87.349808,1612200
2000-10-10,105.312500,105.750000,100.000000,102.687500,85.223099,2744500
2000-10-11,99.500000,106.000000,96.562500,104.000000,86.312386,5509500
2000-10-12,104.000000,104.000000,94.062500,94.312500,78.272476,3723100
2000-10-13,94.312500,102.000000,94.312500,101.500000,84.237549,2798700
2000-10-16,99.750000,106.062500,98.500000,103.625000,86.001160,3475400
2000-10-17,103.375000,103.812500,96.250000,99.250000,82.370216,2111700
2000-10-18,95.500000,101.437500,91.875000,98.000000,81.332809,4426400
2000-10-19,101.750000,104.437500,99.750000,100.562500,83.561844,2322600
2000-10-20,100.562500,106.312500,99.750000,104.937500,87.197212,1707400
2000-10-23,104.687500,105.125000,101.250000,102.437500,85.119835,2019600
2000-10-24,103.625000,106.500000,99.000000,101.125000,84.029228,1904000
2000-10-25,99.375000,100.375000,95.750000,96.187500,79.926437,2166600
2000-10-26,96.187500,98.000000,90.875000,92.937500,77.225876,2352000
2000-10-27,94.000000,95.750000,91.875000,93.000000,77.277809,2097000
2000-10-30,92.750000,98.437500,92.625000,96.500000,80.186096,1803800
2000-10-31,95.500000,101.437500,94.187500,99.812500,82.938614,1863800
2000-11-01,96.750000,97.750000,94.562500,96.687500,80.341888,2094600
2000-11-02,97.625000,100.000000,96.312500,99.250000,82.471222,1505800
2000-11-03,99.250000,101.625000,99.250000,100.437500,83.457954,1658600
2000-11-06,98.375000,99.250000,96.000000,96.062500,79.822586,1927800
2000-11-07,96.062500,97.000000,93.000000,93.750000,77.901016,1756700
2000-11-08,92.500000,93.500000,90.625000,92.437500,76.810425,2051000
2000-11-09,92.000000,93.000000,89.250000,91.875000,76.342972,1845200
2000-11-10,89.000000,91.625000,87.125000,89.187500,74.109818,2604300
2000-11-13,86.375000,87.937500,83.312500,86.375000,71.772820,3201700
2000-11-14,90.000000,92.000000,88.250000,88.875000,73.850151,2167100
2000-11-15,87.250000,92.250000,87.062500,90.062500,74.836884,1851400
2000-11-16,90.062500,93.375000,88.875000,91.437500,75.979446,1223400
2000-11-17,91.187500,91.312500,86.500000,88.062500,73.175026,1398800
2000-11-20,88.000000,88.187500,82.750000,83.000000,68.968369,1663000
2000-11-21,82.000000,84.750000,79.625000,84.187500,69.955109,2066800
2000-11-22,82.875000,83.125000,79.250000,79.937500,66.423607,2296900
2000-11-24,80.750000,82.500000,80.687500,81.500000,67.721962,1086200
2000-11-27,82.500000,83.500000,81.062500,82.500000,68.552879,1883700
2000-11-28,83.750000,84.250000,80.500000,80.500000,66.891022,1701300
2000-11-29,81.625000,82.875000,80.125000,82.875000,68.864525,2329300
2000-11-30,81.875000,82.437500,77.000000,82.125000,68.241280,2514000
2000-12-01,82.125000,85.375000,81.687500,82.000000,68.137428,1380900
2000-12-04,80.500000,82.937500,80.250000,81.750000,67.929680,1601500
2000-12-05,84.000000,89.875000,83.375000,88.750000,73.746292,3981000
2000-12-06,87.750000,93.125000,86.187500,87.750000,72.915390,3785000
2000-12-07,87.687500,88.687500,84.625000,85.875000,71.357307,1555400
2000-12-08,88.000000,92.062500,88.000000,91.875000,76.342972,2063500
2000-12-11,91.625000,96.375000,91.375000,96.000000,79.770630,3869700
